FL1.H	FL2.H	FL3.H	FL4.H
42.131275177	37.505687713600004	165.4269104	0.0
17.1158294678	11.639696121199998	97.9327316284	5.289555549619999
604.32043457	31.039190292399997	706.703735352	113.19648742700001
92.1621627808	155.195953369	201.15911865200002	48.6639099121
254.104248047	253.48672485400002	299.09185791	132.238876343
246.20463562	240.55372619599999	211.74644470200002	126.94932556200001
0.0	72.4247817993	166.750320435	137.528442383
260.687255859	303.92541503900003	296.445007324	115.312309265
105.328186035	21.986093521100003	222.33377075200002	2.1158220768000002
151.40927124	103.46396637	217.04010009799998	132.238876343
156.675674438	192.701644897	753.02331543	341.70526123
0.0	84.0644760132	132.341522217	98.38572692870001
593.7876586909999	0.0	829.78137207	0.0
114.54440307600001	142.262954712	774.197937012	284.578063965
129.027023315	65.9582824707	0.0	159.74456787100002
0.0	0.0	144.252258301	0.0
140.876449585	81.4778747559	201.15911865200002	0.0
68.4633178711	2.5865993499799997	191.895217896	60.300930023199996
0.0	0.0	6.61707639694	77.2275085449
334.416992188	267.713012695	56.906856536899994	181.96070861799998
296.235534668	297.45892334	307.03234863299997	218.987594604
60.563705444300005	43.972187042200005	46.319534301800005	48.6639099121
221.18919372599998	209.51454162599998	324.236724854	206.29266357400002
126.393821716	183.648544312	248.802062988	155.512924194
276.486480713	245.72692871099997	218.363525391	233.79833984400003
1.3166023492799999	109.93046569799999	168.073745728	145.991729736
0.0	21.986093521100003	46.319534301800005	3.1737332344099998
25.015443801900002	125.45006561299999	258.06597900400004	0.0
0.0	24.572692871100003	0.0	187.25025939900002
156.675674438	217.27433776900003	170.72056579600002	87.8066177368
0.0	0.0	111.16688537600001	0.0
104.011581421	89.2376708984	243.508407593	87.8066177368
259.37066650400004	247.020233154	285.85769653299997	165.03411865200002
0.0	160.369155884	0.0	100.501548767
53.9806938171	0.0	134.988357544	85.6907958984
248.83784484900002	265.126434326	295.121612549	289.86764526400003
22.3822402954	5.17319869995	107.196640015	189.366073608
23.698841095	24.572692871100003	75.4346694946	122.717681885
273.853271484	244.433624268	260.712799072	228.508789062
0.0	6.466497898099999	51.613193511999995	159.74456787100002
47.397682189899996	133.209854126	5.29366111755	76.169593811
289.652496338	62.0783805847	181.307891846	158.686660767
39.4980697632	175.88874816900002	230.274261475	165.03411865200002
104.011581421	175.88874816900002	227.627426147	221.103408813
126.393821716	73.7180786133	80.7283325195	0.0
81.6293411255	11.639696121199998	0.0	147.049636841
269.9034729	320.738311768	262.036224365	221.103408813
318.617767334	309.098602295	43.672702789300004	187.25025939900002
36.8648643494	60.7850837708	30.438550949099998	145.991729736
14.4826250076	118.98356628399999	243.508407593	0.0
96.1119689941	247.020233154	222.33377075200002	131.180969238
94.7953643799	0.0	174.690811157	207.35057067900001
188.274124146	93.11756896969999	150.869338989	4.2316441535900005
287.019317627	227.62072753900003	209.099609375	209.466384888
0.0	0.0	27.791721344000003	92.03826141360001
