FL1-H	FL2-H	FL3-H	FL4-H
61	689	424	691
76	710	40	682
182	0	198	746
0	797	0	724
267	0	372	692
263	155	0	693
117	139	6	748
187	0	439	741
190	733	0	698
185	696	433	674
188	279	0	721
112	240	23	730
254	787	31	744
76	171	0	756
192	0	479	751
141	142	698	89
0	153	227	312
65	0	228	739
132	0	389	710
68	135	0	729
172	747	0	711
217	144	393	434
195	65	350	339
205	0	126	793
0	0	116	798
304	0	837	285
53	683	36	653
177	142	0	748
56	180	0	720
276	735	0	810
214	755	0	710
43	0	36	728
241	643	154	554
107	716	0	693
102	49	0	704
0	724	163	715
15	76	230	276
233	0	383	769
196	758	0	698
302	198	384	645
0	742	0	714
25	739	318	669
53	0	355	750
148	46	388	283
159	209	114	771
3	0	871	0
258	43	325	706
203	39	418	761
141	760	332	649
164	0	217	755
121	756	0	704
172	0	20	749
139	107	51	756
130	724	511	680
97	0	255	801
97	733	102	712
0	0	791	0
293	0	590	708
20	232	34	764
0	770	0	725
194	106	307	752
301	7	460	654
228	191	0	822
0	682	153	649
172	88	150	710
117	0	355	393
367	0	652	669
136	98	236	708
184	0	505	128
71	781	0	739
21	751	0	700
60	784	0	704
278	214	390	723
95	726	0	653
220	221	354	772
10	711	0	706
0	756	80	709
167	13	21	751
18	734	45	711
254	617	81	697
154	783	83	708
0	591	1009	0
241	0	330	255
0	0	914	0
265	100	51	801
122	175	168	761
216	719	638	683
173	0	386	670
91	5	0	706
221	0	54	785
99	178	27	770
198	328	463	825
257	793	209	738
44	0	141	755
213	0	166	740
291	270	317	444
265	0	538	767
89	705	181	671
147	749	0	729
229	199	167	744
174	227	22	742
333	0	548	416
202	706	10	692
0	80	6	756
0	195	78	703
6	50	265	749
0	748	0	694
50	735	613	631
241	82	316	280
117	803	0	729
0	720	0	697
272	105	167	771
197	0	466	729
203	0	76	770
191	19	134	731
0	740	0	685
33	0	260	719
14	675	0	619
144	136	0	725
0	745	194	702
0	779	0	743
253	116	0	803
163	803	0	762
217	0	239	756
75	763	0	704
192	786	0	738
117	76	179	778
214	0	134	769
151	161	0	730
541	0	889	311
68	0	433	669
195	0	588	4
168	13	88	718
180	797	0	736
132	61	81	744
85	773	457	746
210	707	0	694
209	0	458	322
259	169	141	795
104	764	14	728
142	658	256	627
117	631	140	625
200	0	623	769
154	757	230	706
161	216	352	693
246	0	702	774
218	0	730	765
179	0	234	751
284	0	94	749
337	0	618	684
225	13	402	355
0	771	0	721
114	565	14	692
96	792	119	710
89	710	60	715
0	817	0	750
157	41	62	714
271	95	255	787
240	96	351	674
0	793	0	730
279	0	526	379
17	778	0	747
237	0	699	517
214	194	190	771
199	0	207	756
169	0	23	755
139	736	446	719
147	0	0	746
164	791	0	737
0	0	0	740
22	180	76	770
138	0	155	773
230	132	245	318
0	747	0	719
154	49	79	768
0	0	257	687
162	168	12	745
230	0	605	600
85	0	827	647
311	191	443	717
39	0	34	762
0	724	8	693
129	706	37	695
130	755	0	707
329	189	378	697
223	0	384	608
134	0	704	692
214	125	251	583
230	163	0	726
266	0	683	682
167	0	467	309
100	687	15	664
192	0	438	193
120	171	101	708
0	738	593	705
281	773	0	842
295	0	391	687
172	236	0	730
138	740	0	687
191	0	217	752
349	114	297	704
132	174	32	748
185	687	0	674
0	749	415	715
123	789	137	733
237	0	398	796
237	3	537	386
256	27	372	68
191	0	724	0
130	775	0	724
371	216	347	730
161	833	87	787
0	132	81	711
0	830	0	749
74	0	70	733
490	40	810	168
0	0	0	737
259	12	309	306
155	20	295	744
157	175	0	791
149	0	353	404
152	0	154	731
98	0	277	693
67	0	0	763
132	0	0	740
197	129	390	101
65	220	60	782
137	155	178	260
5	617	101	679
19	0	62	724
224	747	319	702
75	41	284	357
281	139	28	699
0	34	0	716
248	0	428	649
221	0	0	741
29	63	82	748
47	21	33	746
0	685	0	663
177	728	21	730
61	0	7	758
0	640	730	664
140	0	345	332
82	107	98	742
154	787	0	724
0	0	399	734
0	750	0	695
205	249	248	698
0	107	19	704
132	0	294	695
0	777	0	717
175	0	596	740
178	116	231	745
0	0	289	718
139	660	0	586
0	808	447	713
122	666	0	676
211	0	178	734
219	44	117	732
196	0	143	729
193	725	0	680
200	0	672	732
232	213	11	724
231	162	0	764
62	8	764	77
166	65	224	728
176	0	348	750
127	185	0	719
34	115	77	763
1	780	0	718
226	0	317	764
68	165	186	750
169	0	90	767
141	0	109	727
15	711	35	686
240	52	105	745
109	0	355	732
225	0	544	628
174	0	48	759
0	717	0	677
167	0	0	802
58	756	0	676
25	396	0	760
243	78	179	749
167	0	32	741
119	705	243	675
150	0	0	773
273	134	628	690
52	225	71	737
173	735	0	703
252	0	0	749
109	0	264	711
0	734	0	672
109	96	0	714
186	50	361	771
302	264	347	693
259	29	271	703
161	207	164	761
0	730	0	710
245	230	251	19
215	210	321	672
111	51	0	733
91	638	0	581
36	756	0	691
207	533	0	798
0	0	0	749
276	144	239	807
193	126	0	775
121	696	0	643
50	132	0	767
0	767	0	736
407	65	568	306
0	179	0	768
211	0	160	775
110	724	0	688
340	19	446	746
218	0	515	739
238	0	323	390
182	731	0	698
150	716	101	666
140	0	152	752
242	0	0	766
228	0	519	773
200	43	115	791
112	689	41	681
4	684	0	660
65	772	0	735
0	758	0	694
0	479	1001	0
8	749	0	704
123	111	36	733
197	197	0	735
86	162	0	720
199	772	439	715
257	792	465	719
106	761	253	708
208	237	261	315
139	545	199	569
223	54	482	380
53	690	0	679
12	678	0	633
362	784	0	743
66	0	0	713
191	279	0	786
298	109	475	301
200	127	0	714
0	734	0	696
107	25	45	758
206	121	243	750
355	357	366	715
129	169	0	731
0	767	123	707
27	781	0	823
143	48	325	284
152	128	2	739
287	108	0	779
398	0	634	646
220	65	496	27
115	0	307	752
64	0	0	758
325	265	369	558
0	711	0	677
247	0	154	772
187	7	69	748
196	0	2	763
0	752	456	717
156	36	330	735
238	184	206	710
52	781	486	742
296	0	663	725
228	188	444	444
