FL1-H	FL2-H	FL3-H	FL4-H
0	785	710	718
73	580	448	717
0	845	0	766
130	788	319	729
183	131	0	694
273	176	376	380
0	730	214	725
22	246	220	712
0	732	0	760
129	722	0	779
67	781	0	710
0	755	30	733
189	170	671	709
27	808	32	710
0	728	99	752
0	734	0	745
0	90	0	721
87	97	60	726
238	89	66	685
26	693	43	758
56	827	0	741
133	759	58	766
59	784	483	761
138	632	122	734
57	710	0	746
114	606	0	706
33	709	0	743
159	81	108	710
210	673	0	732
92	270	6	698
37	0	18	722
95	120	149	724
0	805	0	762
3	742	0	755
96	0	142	692
127	763	70	757
0	830	363	712
193	159	14	732
182	263	0	712
0	814	8	712
168	740	11	743
0	701	0	756
62	706	0	756
48	847	0	725
152	637	0	740
0	815	0	745
86	38	115	734
0	714	224	726
182	699	155	743
254	576	285	758
0	0	306	715
162	0	207	760
33	52	310	725
0	747	0	758
130	717	0	771
102	207	107	711
0	645	72	742
155	391	142	685
205	606	0	750
73	193	36	749
408	0	622	644
117	718	99	749
0	797	0	750
193	0	220	716
141	0	478	683
68	31	347	316
0	714	0	748
189	232	52	707
112	687	0	709
0	797	66	731
169	0	209	713
147	599	0	774
60	840	0	751
76	0	206	671
199	658	0	789
423	1015	790	673
201	0	72	698
0	746	0	736
4	0	0	701
82	242	53	708
233	160	85	729
163	698	0	757
85	759	0	757
78	0	0	670
174	100	450	300
3	807	0	727
155	737	644	749
32	757	0	744
165	0	399	356
184	761	0	761
51	786	0	745
183	655	0	747
253	0	725	731
131	0	47	737
51	657	0	780
255	0	357	719
0	799	0	724
96	623	0	734
54	575	100	741
0	813	0	778
61	686	594	740
207	30	193	286
35	701	0	749
0	894	641	723
33	777	0	719
0	711	0	734
0	768	17	742
157	14	255	697
74	752	0	759
0	785	0	756
263	189	319	352
115	131	118	402
379	333	287	659
253	757	9	792
38	756	0	727
153	0	289	669
0	807	6	764
157	0	0	614
158	523	224	729
127	70	88	674
90	218	19	662
0	809	0	755
219	0	0	679
453	0	422	714
111	789	0	752
72	644	303	730
0	644	0	746
90	597	109	747
8	833	13	758
78	223	60	685
0	596	13	717
58	620	0	747
100	758	41	759
148	681	51	762
48	743	0	701
152	103	0	695
0	855	564	751
0	709	115	732
224	0	251	717
10	229	236	685
217	73	415	339
192	655	0	758
0	830	0	752
125	5	50	711
106	752	70	735
0	715	61	732
0	685	251	750
137	169	205	722
239	0	0	724
48	226	33	730
98	627	528	759
210	187	468	783
413	55	521	715
106	8	42	703
122	0	364	264
18	586	0	759
212	87	645	695
38	737	42	738
121	742	71	752
128	623	0	794
241	822	29	795
0	836	0	744
181	223	115	661
233	770	313	767
212	134	125	709
211	578	0	709
98	745	147	728
0	49	3	731
119	31	140	735
0	756	69	793
262	0	169	805
0	861	0	767
140	671	0	749
61	547	0	731
30	752	191	752
134	523	379	727
46	797	0	724
85	833	0	735
256	0	138	206
251	44	287	686
179	0	299	789
145	810	0	759
0	652	0	745
80	753	0	764
119	832	0	766
147	740	0	750
92	0	78	701
0	763	524	767
0	909	0	758
142	714	0	776
177	109	484	82
109	656	0	733
165	103	20	720
24	856	0	747
232	701	0	759
148	842	0	761
179	113	0	728
0	754	0	728
0	695	0	744
0	714	0	728
223	0	754	656
0	750	0	763
228	825	0	769
145	769	0	731
135	11	432	707
115	29	169	703
100	831	17	753
67	617	20	744
203	150	59	716
86	771	131	748
61	747	0	746
38	826	133	709
147	621	0	768
23	770	55	725
208	0	395	347
27	216	233	694
137	49	0	711
112	0	0	620
184	543	89	698
188	0	122	678
0	753	99	710
0	782	1	748
12	534	334	740
0	828	0	754
69	833	0	709
76	818	175	756
0	241	129	678
0	806	169	755
206	46	83	697
161	0	648	227
213	136	0	656
167	245	208	686
25	809	0	742
114	0	345	682
0	115	0	676
197	0	180	680
206	673	0	761
21	835	0	760
0	836	346	744
0	111	27	696
56	818	0	755
0	762	0	765
168	136	0	667
158	482	0	720
60	787	12	742
0	772	7	769
0	638	29	713
149	407	38	711
115	753	0	760
0	814	9	728
112	62	257	704
190	44	115	755
249	200	294	714
23	807	0	755
0	763	16	741
155	769	163	725
0	817	0	752
207	0	301	752
71	721	50	706
208	0	95	720
188	0	514	712
0	840	12	736
139	0	574	682
0	707	0	791
86	93	0	707
223	804	65	732
0	567	171	718
174	668	43	753
0	768	602	731
61	815	0	745
127	645	0	743
167	607	0	746
190	0	137	717
0	753	29	750
0	832	0	736
0	685	107	734
155	0	715	0
176	660	0	716
141	0	93	718
199	97	0	713
191	669	0	716
94	129	223	679
91	873	0	728
122	0	251	726
157	205	0	714
102	0	242	743
163	757	0	752
0	814	0	733
0	797	0	716
108	123	172	683
0	848	0	724
273	86	0	782
102	734	0	797
125	793	629	734
189	95	78	672
245	171	86	720
2	797	0	746
183	331	207	703
60	165	306	301
200	40	0	720
88	564	26	693
60	720	0	749
132	676	0	750
176	202	0	720
235	0	390	762
77	0	142	747
127	0	107	782
91	773	0	723
0	658	0	767
1	773	31	702
90	742	0	729
