FL1-H	FL2-H	FL3-H	FL4-H
132	268	0	729
69	158	0	683
64	19	436	561
226	185	0	734
0	813	0	729
0	716	88	696
139	631	648	681
190	0	337	690
139	686	0	695
226	816	0	762
0	802	0	751
63	235	0	718
120	32	75	686
0	866	0	717
37	627	0	736
16	0	0	702
48	701	563	790
37	0	515	703
0	749	0	718
117	820	0	750
155	132	0	295
59	789	0	727
0	820	138	756
36	705	94	739
55	843	0	714
0	828	0	743
0	783	334	732
169	566	0	724
48	830	206	727
10	864	0	768
24	669	0	681
74	796	0	786
230	26	242	713
68	605	52	682
296	0	267	733
156	189	98	679
0	671	0	711
193	627	0	753
177	0	627	723
80	765	0	746
125	632	74	678
5	827	0	740
167	289	0	723
0	0	216	718
172	79	41	691
0	687	0	715
0	740	25	732
181	628	49	723
137	788	164	750
79	576	348	753
261	41	0	728
0	817	0	751
0	810	0	714
0	142	0	710
0	656	195	743
71	831	13	732
0	807	464	754
208	0	110	761
228	0	156	818
89	644	103	708
129	778	0	724
233	556	350	740
50	900	46	763
0	136	0	694
41	164	160	690
132	67	50	696
0	789	0	736
63	571	58	727
8	665	0	754
191	0	98	690
230	127	0	740
179	204	212	731
156	725	231	731
46	731	21	724
101	380	0	721
5	700	0	721
241	0	305	721
97	811	0	799
18	534	18	743
124	824	0	716
0	848	0	746
33	702	0	757
23	97	52	693
163	32	430	784
293	171	113	769
0	593	0	693
139	604	0	730
160	0	491	690
214	260	469	659
296	0	390	698
81	0	557	682
248	176	0	728
185	715	0	747
118	0	142	26
181	419	0	743
337	19	816	637
106	39	292	609
94	543	51	709
153	182	0	719
150	650	0	736
0	764	0	760
232	51	287	738
0	765	0	748
0	828	0	756
174	730	0	830
208	706	0	797
53	745	0	737
81	659	138	783
45	518	0	723
34	760	1	730
137	37	0	759
145	184	46	710
117	91	314	731
279	28	228	685
41	670	0	747
89	747	0	744
132	177	153	675
158	0	389	710
145	227	472	722
13	853	0	747
129	528	0	693
0	818	0	761
0	221	0	661
77	682	277	698
195	194	209	330
0	796	0	745
123	710	145	750
213	290	0	713
120	784	33	718
57	252	0	680
14	821	0	743
45	786	168	764
123	711	561	756
234	719	0	800
150	229	0	721
0	711	0	768
86	659	342	727
115	572	77	727
161	23	118	741
163	644	10	741
0	272	5	676
11	797	51	722
90	645	0	748
256	157	255	712
154	34	0	797
0	886	0	769
0	665	62	753
83	795	0	719
0	1014	145	815
0	800	0	712
205	654	0	742
210	174	209	710
60	0	120	697
0	627	0	683
