FL1-H	FL2-H	FL3-H	FL4-H
231	221	50	764
0	3	91	808
0	214	0	688
4	0	85	747
213	10	0	742
112	106	68	747
0	981	0	737
192	109	59	673
238	0	0	728
126	0	178	737
212	27	159	745
162	143	3	739
146	4	0	754
13	149	141	711
1	255	0	736
97	0	170	676
72	106	0	687
204	193	449	410
171	72	0	708
72	318	78	709
256	152	0	710
143	0	304	708
131	170	0	699
0	14	0	744
39	128	119	779
61	848	0	679
270	93	146	774
0	215	0	699
0	0	175	741
281	0	167	787
11	178	0	774
0	21	141	699
119	54	120	726
173	0	344	343
105	126	144	747
0	169	196	777
44	0	265	754
49	125	120	723
217	162	47	738
75	207	28	837
281	146	83	796
141	327	60	761
108	139	72	784
620	382	9	737
187	11	216	734
44	0	13	739
143	0	0	751
295	254	205	836
99	197	0	764
163	0	547	677
79	186	0	746
172	2	36	786
166	5	0	739
85	239	69	350
77	355	0	754
200	0	82	756
255	0	214	733
155	358	0	704
42	0	119	751
79	0	0	771
171	883	0	758
209	147	76	773
131	235	121	746
236	173	0	744
179	220	50	763
0	252	0	731
210	96	0	802
124	0	0	762
113	0	15	725
0	21	44	699
201	239	0	755
193	147	0	757
244	52	60	784
73	0	352	744
218	0	35	782
125	107	0	744
0	1003	10	765
131	53	0	755
0	109	0	739
198	208	0	737
55	30	580	748
189	0	223	763
68	984	0	719
237	191	65	705
66	0	434	739
142	0	1	766
178	372	0	744
94	319	0	803
155	0	94	773
0	258	0	747
135	82	95	760
0	366	0	732
60	101	0	739
180	0	95	784
161	25	58	716
164	13	0	744
25	906	89	728
64	220	0	794
56	279	46	759
146	0	0	689
114	0	267	797
214	266	0	762
43	20	0	754
147	64	206	793
92	445	0	741
207	2	214	768
269	0	27	742
199	241	85	770
0	842	0	701
147	0	244	751
14	8	18	750
0	18	0	756
176	32	171	706
159	35	54	680
140	0	107	769
56	251	0	745
0	190	0	777
0	807	0	693
222	0	331	339
145	906	0	726
190	0	444	771
136	210	252	720
191	0	316	724
154	169	0	755
237	67	81	715
138	636	0	783
0	0	0	768
216	29	102	732
184	117	331	754
258	201	157	745
22	931	0	825
0	117	0	761
0	73	0	761
0	198	0	740
220	39	0	805
128	105	194	752
159	112	0	715
115	53	0	739
94	164	0	733
154	212	0	726
26	787	0	784
57	119	177	755
118	0	672	710
169	97	59	781
35	21	0	776
268	0	576	755
256	0	221	802
44	132	0	739
0	852	106	709
33	194	38	771
131	860	124	684
0	211	0	766
114	0	0	741
105	0	415	715
23	202	138	747
187	191	0	748
191	0	65	708
152	17	163	767
190	0	0	778
189	110	155	727
133	391	133	746
249	149	597	189
70	27	0	766
107	140	13	716
78	385	0	793
167	0	548	738
106	159	0	741
111	61	0	764
228	337	273	842
0	946	42	758
55	0	189	749
184	0	461	749
0	601	99	764
32	2	180	751
87	76	122	759
168	57	107	773
163	0	362	665
167	98	225	718
0	50	258	771
151	106	166	734
181	280	15	672
20	0	0	721
47	0	0	698
87	109	270	762
150	48	0	736
191	111	2	740
99	888	0	686
0	314	16	721
111	195	0	766
138	34	0	733
0	112	167	758
187	0	35	764
