FL1-H	FL2-H	FL3-H	FL4-H
132	563	155	754
164	243	0	776
98	29	103	721
141	57	26	714
0	38	132	778
0	0	4	733
227	67	292	276
80	105	111	742
173	94	228	399
0	775	0	734
135	0	409	709
275	192	280	844
41	816	0	774
0	693	4	676
249	785	44	746
25	42	175	718
192	227	138	756
117	126	0	771
161	0	204	785
132	201	57	766
270	0	593	135
56	0	574	359
272	184	164	730
126	754	4	718
164	3	79	762
155	102	0	753
191	794	10	755
212	0	155	745
0	792	0	763
165	214	0	783
222	176	42	746
308	272	0	327
175	120	62	739
315	50	584	666
83	229	157	745
218	0	0	729
102	726	633	682
260	242	227	800
229	0	327	752
64	0	0	753
180	0	0	744
211	0	280	758
158	0	0	775
200	0	46	796
42	0	51	772
0	801	23	762
107	763	408	735
209	0	504	73
0	0	161	753
187	0	65	747
260	0	192	777
162	816	54	769
196	0	239	762
144	0	50	762
28	0	281	739
131	773	0	726
131	230	96	748
4	77	0	750
0	182	142	746
244	0	0	753
185	92	28	814
166	193	16	735
130	44	28	749
69	774	12	723
198	0	434	751
40	0	57	757
208	0	218	742
33	96	370	744
185	200	281	373
90	0	506	743
150	0	98	760
0	0	124	727
240	144	9	811
0	820	0	747
186	172	0	734
155	775	354	723
0	758	27	741
78	0	65	759
100	58	0	759
216	232	387	565
122	0	162	769
166	0	26	735
98	0	145	787
212	0	31	240
169	31	358	374
0	784	0	731
140	0	549	765
190	169	3	757
216	20	143	736
0	132	66	762
0	780	0	735
235	194	0	796
60	135	51	763
226	0	328	367
142	234	0	749
165	0	234	730
180	0	0	759
144	0	259	756
271	172	130	760
3	0	144	742
219	0	129	775
0	781	140	738
206	244	0	729
107	17	0	766
177	43	45	741
154	80	212	762
231	160	0	731
155	0	103	774
182	0	192	758
0	795	47	751
180	75	0	757
235	135	132	743
0	785	0	721
245	187	206	307
183	0	422	785
212	0	0	750
107	46	10	830
270	0	421	708
192	41	200	738
117	0	66	751
134	0	226	767
90	39	157	313
29	32	100	738
173	765	0	726
0	649	120	653
88	802	74	737
181	26	76	741
188	816	0	760
0	0	0	757
143	110	284	743
158	832	0	746
193	812	14	752
194	98	133	762
225	0	0	766
153	70	23	743
114	141	282	738
135	193	200	677
16	697	0	676
142	0	477	751
173	157	0	717
230	122	0	742
187	760	0	688
75	0	159	769
174	0	167	742
244	109	0	391
225	128	67	756
124	85	0	735
117	0	1	747
0	766	0	734
214	27	239	321
171	66	211	755
174	802	675	768
226	0	352	776
0	760	382	710
59	0	139	755
159	61	0	768
233	0	405	385
233	227	129	727
141	0	95	745
287	262	345	445
179	81	15	802
163	0	299	735
177	0	105	744
66	803	409	737
81	2	203	781
148	142	8	782
65	779	421	756
172	89	0	756
91	737	119	724
56	95	196	776
266	0	38	787
254	0	314	770
252	242	283	398
206	0	539	717
42	138	0	760
176	0	53	730
233	0	239	759
141	76	0	718
141	5	0	746
276	242	313	441
234	33	0	783
26	0	367	753
58	46	0	752
222	0	343	751
36	0	226	781
138	0	210	800
230	0	0	817
0	759	0	743
74	791	146	755
243	16	515	431
135	796	0	714
170	8	0	769
152	221	195	386
88	244	166	746
45	175	178	734
152	0	417	786
210	0	0	770
192	69	0	770
0	19	0	742
198	104	292	776
126	0	39	759
0	169	0	753
180	109	0	746
0	775	0	732
239	782	0	738
66	215	90	736
24	0	631	744
152	98	0	760
66	250	0	286
8	273	255	714
253	15	0	767
210	265	29	778
0	793	587	747
180	16	11	743
162	49	108	759
235	0	208	761
211	156	0	767
76	171	116	725
272	98	0	753
261	0	12	792
9	197	206	792
51	118	214	776
0	861	5	823
258	25	213	365
191	173	0	751
203	238	0	765
174	0	171	758
219	0	93	756
211	294	375	276
235	189	220	785
113	244	151	806
160	127	248	726
180	212	0	793
188	702	0	681
171	166	44	338
124	0	0	772
27	92	178	743
0	837	94	789
230	0	165	780
0	772	29	737
164	196	457	639
200	0	344	363
241	0	690	751
184	110	56	774
102	134	58	739
107	140	0	793
223	250	500	692
0	774	0	732
99	92	218	377
218	231	0	722
0	794	0	766
108	141	0	752
158	253	0	726
225	0	39	773
204	176	173	751
89	23	124	753
230	54	19	725
107	781	119	730
123	0	326	737
120	0	46	746
169	0	191	763
0	0	0	787
139	59	16	743
216	229	0	772
138	125	137	363
47	92	278	738
0	744	0	708
245	0	429	780
7	128	0	772
102	241	109	746
243	704	0	718
140	225	0	733
186	81	4	757
192	273	0	713
201	173	228	364
220	0	87	746
215	73	410	755
0	196	10	745
107	310	0	759
119	119	92	743
155	114	0	758
190	0	260	759
198	170	89	403
33	4	187	725
160	62	205	758
61	642	0	634
184	0	7	748
0	0	0	729
105	255	22	730
128	0	153	778
206	0	20	752
0	41	0	752
113	174	0	746
204	293	168	710
164	112	0	662
188	117	26	752
192	0	221	796
241	0	0	282
0	741	0	713
83	0	93	713
6	830	0	778
253	0	168	774
141	246	52	720
24	740	0	698
194	0	282	763
88	107	0	752
242	767	69	718
75	0	0	723
93	227	2	781
116	0	175	755
163	47	185	791
192	56	0	740
0	167	0	789
262	0	0	785
175	0	59	779
7	786	0	730
165	130	0	736
179	80	0	777
96	755	0	714
158	88	165	362
98	184	88	742
0	211	0	750
235	0	556	773
8	736	0	721
189	797	5	752
195	0	57	758
114	198	126	810
222	181	260	751
104	189	0	760
229	97	5	402
76	169	0	784
90	827	112	779
52	828	0	754
86	164	95	759
107	767	0	712
200	0	74	764
269	38	0	793
185	0	28	740
172	29	168	748
67	23	820	258
254	0	159	744
222	207	253	303
150	66	68	742
249	187	0	769
204	134	106	776
212	186	209	755
91	789	8	722
225	87	188	770
4	798	0	768
258	0	107	809
353	138	478	699
25	29	0	737
245	191	0	757
89	79	0	742
38	744	2	702
138	809	0	759
48	0	9	761
0	0	18	772
107	123	0	738
181	792	167	754
172	72	215	746
87	166	86	745
4	744	27	690
154	0	171	733
149	0	74	809
49	48	0	766
209	233	339	298
216	0	2	716
193	246	98	794
103	0	0	746
123	176	75	795
139	12	56	743
7	220	0	750
0	0	219	756
54	799	4	767
227	0	0	745
207	5	0	775
0	697	0	694
0	456	1023	0
226	0	238	754
53	0	203	758
197	169	76	798
228	226	32	342
148	314	24	753
52	1	141	775
236	110	380	399
106	200	0	769
199	0	6	725
185	63	0	803
116	787	52	733
217	0	354	331
179	0	139	795
132	98	120	737
243	184	233	748
184	780	0	705
114	31	164	755
0	749	507	700
199	0	563	721
87	0	0	769
8	201	0	760
145	35	339	350
172	0	42	752
35	222	0	744
136	748	0	721
89	44	481	730
153	127	66	782
146	0	423	747
85	146	152	742
93	0	4	724
235	0	594	649
82	761	64	730
240	170	486	321
260	0	132	763
172	221	13	744
129	701	0	682
0	771	0	717
169	162	125	763
174	81	36	758
241	8	360	374
3	820	0	770
0	0	729	708
199	84	0	796
212	0	1	802
110	0	2	754
95	27	193	757
28	840	0	794
283	53	0	811
58	36	0	786
203	630	0	597
111	99	0	759
183	192	0	757
0	768	0	722
100	294	251	729
172	0	239	761
173	832	0	774
201	129	76	799
130	231	18	752
130	140	53	755
0	812	0	758
220	0	78	741
0	88	0	769
205	53	307	401
183	0	108	745
185	116	67	755
201	108	77	760
172	0	252	766
0	801	105	735
105	0	172	712
196	0	304	739
98	246	0	738
310	218	310	378
0	0	111	708
164	4	56	780
214	808	0	766
116	0	55	736
100	0	77	739
161	0	397	752
109	754	15	723
194	183	0	769
139	492	0	764
195	227	113	375
207	0	0	754
226	0	725	792
232	0	0	722
229	231	0	750
58	0	98	775
0	768	0	725
192	0	0	772
77	775	0	728
32	0	78	764
152	0	50	755
168	57	312	711
0	784	0	726
163	39	255	755
172	0	722	736
156	18	0	757
277	122	401	586
192	166	355	302
275	75	324	677
220	0	708	0
8	775	133	746
174	156	76	762
9	813	346	757
40	788	0	734
160	0	687	0
147	207	334	566
280	711	0	699
305	0	34	770
58	0	0	749
183	0	76	753
218	0	66	814
154	13	0	743
238	27	2	791
48	154	117	728
0	838	0	754
0	733	0	732
0	734	56	724
273	35	361	417
0	797	454	753
241	0	353	394
240	93	0	343
247	0	384	767
84	0	0	755
175	776	0	724
154	168	0	746
135	0	39	705
0	134	189	742
20	0	134	741
209	245	0	755
18	174	76	338
8	106	342	335
295	199	335	369
8	159	0	783
0	779	231	734
204	72	0	784
237	0	174	784
201	65	218	749
91	780	69	737
290	103	58	778
0	767	0	726
202	35	0	763
267	233	329	384
196	83	0	706
245	106	0	739
146	215	0	781
0	149	53	697
149	232	0	750
50	771	0	716
2	788	0	723
0	165	0	727
221	142	0	640
193	0	236	752
210	71	0	829
152	0	0	729
169	0	275	730
233	12	92	766
191	0	370	752
240	0	847	705
178	0	381	794
148	252	47	726
260	0	336	797
0	816	53	787
144	225	0	747
28	771	0	721
167	0	288	778
163	195	8	739
220	0	70	759
0	852	77	807
137	91	0	759
191	0	38	732
240	0	0	747
198	810	0	778
223	239	0	774
144	0	0	748
138	1	16	742
217	0	0	765
202	0	77	771
115	209	0	751
239	191	0	751
190	50	110	812
274	185	0	740
0	804	0	766
0	808	0	740
239	61	213	767
71	0	105	731
193	410	71	690
6	15	360	276
275	241	245	421
173	50	0	812
191	161	40	312
124	20	0	730
0	868	67	833
0	766	94	729
442	822	299	752
273	0	373	731
191	116	12	736
192	105	47	754
0	783	0	699
281	0	281	735
155	25	66	735
252	5	276	787
209	0	313	762
234	127	0	327
239	0	255	314
0	776	218	727
182	0	50	751
66	217	0	753
199	161	0	761
101	80	248	292
51	0	79	765
240	102	295	288
157	0	76	772
138	178	434	729
54	830	0	752
98	0	55	736
214	0	541	0
201	252	69	312
230	287	0	701
0	223	0	730
247	127	334	744
127	767	56	747
